officialname,datasourcetype,openairecompatibility,n,prop
Unknown Repository,Publication Repository,not available,28288,0.46317581949765857
arXiv.org e-Print Archive,Thematic Repository,OpenAIRE Basic (DRIVER OA),23177,0.3794904542030979
Europe PubMed Central,Thematic Repository,collected from a compatible aggregator,14536,0.23800635294888167
Hyper Article en Ligne,Publication Repository Aggregator,"OpenAIRE 3.0 (OA, funding)",4712,0.0771523070373645
Mémoires en Sciences de l'Information et de la Communication,Publication Repository,OpenAIRE Basic (DRIVER OA),3894,0.06375871893113272
Hal-Diderot,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",3676,0.060189278580083175
MPG.PuRe,Publication Repository Aggregator,"OpenAIRE 3.0 (OA, funding)",2097,0.03433539640436192
ZENODO,Publication Repository Aggregator,"OpenAIRE 3.0 (OA, funding)",1942,0.03179749156760651
Zenodo,Data Repository,OpenAIRE Basic (DRIVER OA),1489,0.02438026001244392
Oxford University Research Archive,Institutional Repository,OpenAIRE Basic (DRIVER OA),1225,0.020057635000163734
Apollo,Institutional Repository,OpenAIRE Basic (DRIVER OA),1217,0.01992664636342797
Infoscience - EPFL scientific publications,Institutional Repository,OpenAIRE PubRepos v4.0,1177,0.019271703179749158
SCOAP3 Repository,Thematic Repository,OpenAIRE Basic (DRIVER OA),1162,0.0190260994858696
DIGITAL.CSIC,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1127,0.018453024200150638
Lirias,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",1042,0.017061269934833152
Spiral - Imperial College Digital Repository,Institutional Repository,OpenAIRE Basic (DRIVER OA),932,0.01526017617971641
HAL Descartes,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",895,0.014654353734813505
bioRxiv,Thematic Repository,OpenAIRE Basic (DRIVER OA),888,0.014539738677669712
Edinburgh Research Explorer,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",882,0.01444149720011789
ETH Zürich Research Collection,Data Repository,"OpenAIRE Data (funded, referenced datasets)",810,0.013262599469496022
HAL-Inserm,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",730,0.01195271310213839
Radboud Repository,Institutional Repository,collected from a compatible aggregator,730,0.01195271310213839
Leiden University Repository,Institutional Repository,collected from a compatible aggregator,726,0.011887218783770508
Copenhagen University Research Information System,Institutional Repository,OpenAIRE Basic (DRIVER OA),697,0.011412384975603367
Universiteit van Amsterdam Digital Academic Repository,Institutional Repository,collected from a compatible aggregator,691,0.011314143498051543
HELDA - Digital Repository of the University of Helsinki,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",671,0.010986671906212137
INRIA a CCSD electronic archive server,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",593,0.009709532698038445
White Rose Research Online,Institutional Repository,collected from a compatible aggregator,572,0.009365687526607066
The University of Manchester - Institutional Repository,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",565,0.009251072469463275
Norwegian Open Research Archives,Publication Repository,OpenAIRE Basic (DRIVER OA),556,0.009103710253135541
Zurich Open Repository and Archive,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",548,0.008972721616399778
DESY Publication Database,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",545,0.008923600877623866
Archivio istituzionale della ricerca - Alma Mater Studiorum Università di Bologna,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",535,0.008759865081704163
Aaltodoc Publication Archive,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",529,0.00866162360415234
Explore Bristol Research,Institutional Repository,OpenAIRE Basic (DRIVER OA),519,0.008497887808232636
RE.PUBLIC@POLIMI Research Publications at Politecnico di Milano,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",499,0.008170416216393228
"NARCIS",Publication Repository Aggregator,"OpenAIRE 3.0 (OA, funding)",475,0.007777450306185939
DSpace at VU,Institutional Repository,collected from a compatible aggregator,473,0.007744703147001998
Ghent University Academic Bibliography,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",471,0.007711955987818057
PURE Aarhus University,Publication Repository,"OpenAIRE 3.0 (OA, funding)",464,0.007597340930674264
CERN Document Server,Thematic Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",454,0.00743360513475456
Archivio della ricerca- Università di Roma La Sapienza,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",430,0.00704063922454727
Durham Research Online,Institutional Repository,OpenAIRE Basic (DRIVER OA),426,0.006975144906179389
HAL-Pasteur,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",420,0.006876903428627567
Research Repository of Catalonia,Publication Repository Aggregator,"OpenAIRE 3.0 (OA, funding)",415,0.006795035530667714
Publikationer från Uppsala Universitet,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",413,0.006762288371483773
Enlighten,Institutional Repository,collected from a compatible aggregator,403,0.00659855257556407
Online Research Database In Technology,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",395,0.006467563938828307
Repository TU/e,Institutional Repository,collected from a compatible aggregator,392,0.006418443200052395
HAL-CEA,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",387,0.006336575302092543
TU Delft Repository,Institutional Repository,collected from a compatible aggregator,384,0.0062874545633166325
eScholarship - University of California,Institutional Repository,OpenAIRE Basic (DRIVER OA),377,0.006172839506172839
Warwick Research Archives Portal Repository,Institutional Repository,collected from a compatible aggregator,375,0.006140092346988898
figshare,Data Repository,collected from a compatible aggregator,355,0.005812620755149491
Online Research @ Cardiff,Institutional Repository,collected from a compatible aggregator,348,0.005698005698005698
Utrecht University Repository,Institutional Repository,collected from a compatible aggregator,332,0.005436028424534172
Caltech Authors,Institutional Repository,OpenAIRE Basic (DRIVER OA),323,0.005288666208206438
e-Prints Soton,Institutional Repository,OpenAIRE Basic (DRIVER OA),320,0.0052395454694305265
HAL AMU,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",316,0.005174051151062646
Archivio Istituzionale della Ricerca dell'Università degli Studi di Milano,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",314,0.005141303991878705
HAL - UPEC / UPEM,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",302,0.00494482103677506
Publications Open Repository TOrino,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",300,0.004912073877591119
UPF Digital Repository,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",300,0.004912073877591119
UM Publications,Institutional Repository,collected from a compatible aggregator,286,0.004682843763303533
Diposit Digital de Documents de la UAB,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",284,0.004650096604119592
Erasmus University Institutional Repository,Institutional Repository,collected from a compatible aggregator,278,0.004551855126567771
Archivio Istituzionale,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",277,0.0045354815469758
Juelich Shared Electronic Resources,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",273,0.004469987228607918
Wageningen Staff Publications,Institutional Repository,collected from a compatible aggregator,273,0.004469987228607918
HAL-IRD,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",268,0.0043881193306480664
Open Access LMU,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",260,0.004257130693912303
Publikationsserver der RWTH Aachen University,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",257,0.004208009955136392
Jyväskylä University Digital Archive,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",245,0.004011527000032747
DI-fusion,Institutional Repository,OpenAIRE Basic (DRIVER OA),244,0.003995153420440776
King's Research Portal,Institutional Repository,OpenAIRE Basic (DRIVER OA),239,0.003913285522480925
Universiteit Twente Repository,Institutional Repository,collected from a compatible aggregator,230,0.0037659233061531914
FigShare,Publication Repository Aggregator,not available,228,0.0037331761469692505
LJMU Research Online,Institutional Repository,collected from a compatible aggregator,219,0.0035858139306415167
Sussex Research Online,Institutional Repository,collected from a compatible aggregator,218,0.0035694403510495463
Open Repository and Bibliography - Luxembourg,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",206,0.0033729573959459017
KNAW Repository,Institutional Repository,collected from a compatible aggregator,204,0.003340210236761961
Open Repository and Bibliography - University of Liège,Institutional Repository,OpenAIRE PubRepos v4.0,192,0.0031437272816583163
University of Southern Denmark Research Output,Institutional Repository,OpenAIRE Basic (DRIVER OA),190,0.0031109801224743754
Hyper Article en Ligne - Sciences de l'Homme et de la Société,Thematic Repository,"OpenAIRE 3.0 (OA, funding)",184,0.003012738644922553
University of Liverpool Repository,Institutional Repository,collected from a compatible aggregator,182,0.002979991485738612
KITopen,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",171,0.002799882110226938
VBN,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",164,0.002685267053083145
Fraunhofer-ePrints,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",159,0.002603399155123293
IRIS - Institutional Research Information System of the University of Trento,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",151,0.00247241051838753
Archivio istituzionale della ricerca - Università di Padova,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",148,0.0024232897796116187
Nottingham Research Repository,Institutional Repository,collected from a compatible aggregator,147,0.0024069162000196482
Digital Repository of University of Zaragoza,Institutional Repository,OpenAIRE Basic (DRIVER OA),144,0.002357795461243737
Archivio della Ricerca - Università di Pisa,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",142,0.002325048302059796
Jagiellonian University Repository,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",139,0.0022759275632838853
Archivio istituzionale della ricerca - Università degli Studi di Venezia Ca' Foscari,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",137,0.0022431804040999445
E-Prints Complutense,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",136,0.002226806824507974
SISSA Digital Library,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",136,0.002226806824507974
HAL-Rennes 1,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",135,0.0022104332449160036
Portsmouth Research Portal,Institutional Repository,OpenAIRE Basic (DRIVER OA),131,0.002144938926548122
HAL-INSA Toulouse,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",128,0.0020958181877722107
Diposit Digital de la Universitat de Barcelona,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",126,0.00206307102858827
Queen's University Research Portal,Institutional Repository,OpenAIRE Basic (DRIVER OA),126,0.00206307102858827
HAL-ENS-LYON,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",125,0.0020466974489962994
Archive ouverte UNIGE,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",124,0.002030323869404329
Flore (Florence Research Repository),Institutional Repository,"OpenAIRE 3.0 (OA, funding)",123,0.0020139502898123586
Institutional Repository for Molecular Medicine (MDC),Publication Repository,OpenAIRE Basic (DRIVER OA),118,0.0019320823918525067
ProdInra,Institutional Repository,OpenAIRE Basic (DRIVER OA),117,0.0019157088122605363
University of Oulu Repository - Jultika,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",117,0.0019157088122605363
BOA - Bicocca Open Archive,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",115,0.0018829616530765957
Lille Open Archive,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",113,0.0018502144938926548
ROBIS,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",113,0.0018502144938926548
Publications at Bielefeld University,Institutional Repository,OpenAIRE PubRepos v4.0,108,0.0017683465959328027
RERO DOC Digital Library,Institutional Repository,OpenAIRE Basic (DRIVER OA),108,0.0017683465959328027
Project Euclid,Publication Repository Aggregator,OpenAIRE Basic (DRIVER OA),107,0.0017519730163408325
Publikationer från KTH,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",107,0.0017519730163408325
Bern Open Repository and Information System (BORIS),Institutional Repository,OpenAIRE Basic (DRIVER OA),106,0.0017355994367488621
DLR publication server,Institutional Repository,OpenAIRE PubRepos v4.0,106,0.0017355994367488621
"Permanent Hosting, Archiving and Indexing of Digital Resources and Assets",Institutional Repository,OpenAIRE PubRepos v4.0,106,0.0017355994367488621
Publikationenserver der Georg-August-Universität Göttingen,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",106,0.0017355994367488621
Document Server@UHasselt,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",104,0.0017028522775649213
HAL - Université de Lille,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",104,0.0017028522775649213
MediaTUM,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",104,0.0017028522775649213
HAL-UPMC,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",99,0.0016209843796050692
Repositori d'Objectes Digitals per a l'Ensenyament la Recerca i la Cultura,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",99,0.0016209843796050692
University of East Anglia digital repository,Institutional Repository,OpenAIRE Basic (DRIVER OA),99,0.0016209843796050692
LSHTM Research Online,Institutional Repository,collected from a compatible aggregator,98,0.0016046108000130988
GFZ German Research Centre for Geosciences,Institutional Repository,OpenAIRE Basic (DRIVER OA),97,0.0015882372204211286
Central Archive at the University of Reading,Institutional Repository,collected from a compatible aggregator,95,0.0015554900612371877
Lancaster EPrints,Institutional Repository,OpenAIRE Basic (DRIVER OA),95,0.0015554900612371877
REPISALUD,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",95,0.0015554900612371877
GSI Repository,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",92,0.0015063693224612765
Tilburg University Repository,Institutional Repository,collected from a compatible aggregator,92,0.0015063693224612765
Archivio della ricerca - Università degli studi di Napoli Federico II,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",90,0.0014736221632773356
PsyArXiv,Thematic Repository,OpenAIRE Basic (DRIVER OA),90,0.0014736221632773356
Publikationer från Umeå universitet,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",90,0.0014736221632773356
Digital Access to Scholarship at Harvard,Institutional Repository,OpenAIRE Basic (DRIVER OA),89,0.0014572485836853652
Publikationer från Linköpings universitet,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",89,0.0014572485836853652
Serveur académique lausannois,Publication Repository Aggregator,"OpenAIRE 3.0 (OA, funding)",88,0.001440875004093395
Kent Academic Repository,Institutional Repository,collected from a compatible aggregator,84,0.0013753806857255133
Strathprints,Institutional Repository,not available,82,0.0013426335265415725
ARCHIVO DIGITAL PARA LA DOCENCIA Y LA INVESTIGACION,Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",81,0.001326259946949602
DSpace@MIT,Institutional Repository,OpenAIRE Basic (DRIVER OA),81,0.001326259946949602
Repositorio Institucional Universidad de Granada,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",81,0.001326259946949602
Archivio istituzionale della ricerca - Università di Genova,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",79,0.0012935127877656614
CONICET Digital,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",79,0.0012935127877656614
Open Science Framework,Data Repository,collected from a compatible aggregator,79,0.0012935127877656614
Keele Research Repository,Institutional Repository,collected from a compatible aggregator,77,0.0012607656285817206
SpringerOpen,Publication Repository Aggregator,collected from a compatible aggregator,77,0.0012607656285817206
Online-Publikations-Server der Universität Würzburg,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",75,0.0012280184693977798
Publikationsserver der Universität Potsdam,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",74,0.0012116448898058093
Koç University Suna Kıraç Library’s New Digital Collections Portal,Institutional Repository,OpenAIRE Basic (DRIVER OA),72,0.0011788977306218685
ResearchGate Data,Data Repository,not available,72,0.0011788977306218685
edoc,Institutional Repository,OpenAIRE Basic (DRIVER OA),68,0.001113403412253987
Institutional Repository Universiteit Antwerpen,Institutional Repository,"OpenAIRE 3.0 (OA, funding)",67,0.0010970298326620166
JAIRO,Institutional Repository Aggregator,OpenAIRE Basic (DRIVER OA),67,0.0010970298326620166
