data_source_id,subjects
opendoar____::6f4922f45568161a8cdf4ad2299f6d23,Biology and Biochemistry
opendoar____::6f4922f45568161a8cdf4ad2299f6d23,Mathematics and Statistics
opendoar____::6f4922f45568161a8cdf4ad2299f6d23,Physics and Astronomy
opendoar____::6f4922f45568161a8cdf4ad2299f6d23,Computers and IT
openaire____::55045bd2a65019fd8e6741a755395c8c,{NULL}
driver______::4dc196be332447baf11e431bd838e81c,{NULL}
opendoar____::358aee4cc897452c00244351e4d91f69,Multidisciplinary
opendoar____::8bdb5058376143fa358981954e7626b8,Science General
opendoar____::8bdb5058376143fa358981954e7626b8,Mathematics and Statistics
opendoar____::8bdb5058376143fa358981954e7626b8,Computers and IT
opendoar____::8bdb5058376143fa358981954e7626b8,Arts and Humanities General
opendoar____::8bdb5058376143fa358981954e7626b8,Philosophy and Religion
opendoar____::8bdb5058376143fa358981954e7626b8,Business and Economics
opendoar____::8bdb5058376143fa358981954e7626b8,Law and Politics
opendoar____::8bdb5058376143fa358981954e7626b8,Library and Information Science
opendoar____::7437d136770f5b35194cb46c1653efaa,Multidisciplinary
opendoar____::e93028bdc1aacdfb3687181f2031765d,Physics and Astronomy
opendoar____::8485ae387a981d783f8764e508151cd9,"Agriculture, Food and Veterinary"
opendoar____::8485ae387a981d783f8764e508151cd9,Biology and Biochemistry
opendoar____::8485ae387a981d783f8764e508151cd9,Education
opendoar____::0e9fa1f3e9e66792401a6972d477dcc3,Multidisciplinary
opendoar____::854d6fae5ee42911677c739ee1734486,Multidisciplinary
opendoar____::1ce927f875864094e3906a4a0b5ece68,Business and Economics
opendoar____::1ce927f875864094e3906a4a0b5ece68,Management and Planning
opendoar____::8b6dd7db9af49e67306feb59a8bdc52c,Biology and Biochemistry
opendoar____::8b6dd7db9af49e67306feb59a8bdc52c,Health and Medicine
share_______::bbd802baad85d1fd440f32a7a3a2c2b1,{NULL}
opendoar____::995e1fda4a2b5f55ef0df50868bf2a8f,Multidisciplinary
opendoar____::9c3b1830513cc3b8fc4b76635d32e692,Multidisciplinary
opendoar____::069059b7ef840f0c74a814ec9237b6ec,Multidisciplinary
opendoar____::757b505cfd34c64c85ca5b5690ee5293,Multidisciplinary
opendoar____::b53b3a3d6ab90ce0268229151c9bde11,Multidisciplinary
opendoar____::a14ac55a4f27472c5d894ec1c3c743d2,Multidisciplinary
opendoar____::02522a2b2726fb0a03bb19f2d8d9524d,Biology and Biochemistry
opendoar____::02522a2b2726fb0a03bb19f2d8d9524d,Chemistry and Chemical Technology
opendoar____::02522a2b2726fb0a03bb19f2d8d9524d,Mathematics and Statistics
opendoar____::02522a2b2726fb0a03bb19f2d8d9524d,Physics and Astronomy
opendoar____::02522a2b2726fb0a03bb19f2d8d9524d,Technology General
