domain,oaire_result_type,works
dx.doi.org,publication,56013
academic.microsoft.com,publication,52528
arxiv.org,publication,24198
www.ncbi.nlm.nih.gov,publication,20342
europepmc.org,publication,16466
ui.adsabs.harvard.edu,publication,13551
hdl.handle.net,publication,11614
doi.org,publication,10076
export.arxiv.org,publication,8440
doaj.org,publication,8009
pubmed.ncbi.nlm.nih.gov,publication,7424
hal.archives-ouvertes.fr,publication,7123
api.elsevier.com,publication,7086
www.sciencedirect.com,publication,6863
link.springer.com,publication,6524
dblp.uni-trier.de,publication,6427
core.ac.uk,publication,5681
www.narcis.nl,publication,5185
onlinelibrary.wiley.com,publication,5062
syndication.highwire.org,publication,4393
www.nature.com,publication,4142
api.wiley.com,publication,3881
pure.mpg.de,publication,3586
link.aps.org,publication,3378
harvest.aps.org,publication,3376
pubs.acs.org,publication,3262
xplorestaging.ieee.org,publication,2961
academic.oup.com,publication,2830
aps.arxiv.org,publication,2631
zenodo.org,publication,2414
www.biorxiv.org,publication,2295
uk.arxiv.org,publication,2275
iopscience.iop.org,publication,2108
fr.arxiv.org,publication,1823
au.arxiv.org,publication,1784
pubs.rsc.org,publication,1736
ieeexplore.ieee.org,publication,1700
www.repository.cam.ac.uk,publication,1620
www.arxiv-vanity.com,publication,1610
www.cell.com,publication,1518
ru.arxiv.org,publication,1498
za.arxiv.org,publication,1488
jp.arxiv.org,publication,1448
tw.arxiv.org,publication,1442
www.scopus.com,publication,1368
www.diva-portal.org,publication,1340
ora.ox.ac.uk,publication,1293
it.arxiv.org,publication,1210
infoscience.epfl.ch,publication,1203
www.aanda.org,publication,1167
repo.scoap3.org,publication,1166
www.research-collection.ethz.ch,publication,1162
www.scilit.net,publication,1153
dl.acm.org,publication,1093
journals.aps.org,publication,1065
dx.doi.org,dataset,1053
lirias.kuleuven.be,publication,1044
inspirehep.net,publication,1019
pubag.nal.usda.gov,publication,1003
il.arxiv.org,publication,947
www.mdpi.com,publication,942
www.pure.ed.ac.uk,publication,938
stacks.iop.org,publication,922
www.onlinelibrary.wiley.com,publication,916
www.tandfonline.com,publication,884
www.rug.nl,publication,874
digital.csic.es,publication,858
paperity.org,publication,848
www.osapublishing.org,publication,841
repository.ubn.ru.nl,publication,837
biorxiv.org,publication,825
rd.springer.com,publication,808
resolver.tudelft.nl,publication,782
hal.inria.fr,publication,777
www.frontiersin.org,publication,772
biblio.ugent.be,publication,762
discovery.ucl.ac.uk,publication,761
eprints.whiterose.ac.uk,publication,752
www.research.ed.ac.uk,publication,735
www.zora.uzh.ch,publication,719
curis.ku.dk,publication,707
urn.kb.se,publication,706
www.research.manchester.ac.uk,publication,695
pubsdc3.acs.org,publication,677
