Repository name,Organisation name,URL,content_type,Short name,Coverage,ERC panels,Content type,Access to repository,Access to data upload,Certification,Date of last certification,Source (URL),Community Endorsement,Source of Community Endorsement,Community URL,Policy,Policy URL,"Metadata contains ""access rights""","Metadata contains ""License""",PID Assignment,Machine-actionable,Standardized,Linked resources,CC0 or PD or equivalent Metadata,Author(s),Description,Title,Date of publication,Venue of publication/deposit,Embargo,Funder and Funding Stream,Grant information,Record PID,Author(s) PID,Organisation PID,Grant PID,Curator,Reason for inclusion,comments
Alexandria Research Platform,University of St. Gallen,http://www.alexandria.unisg.ch/,,NA,Institutional,PE06|SH01,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/2,NA
AMS Acta,Università di Bologna,http://amsacta.unibo.it,,NA,Institutional,PE05|PE09,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,http://www.sba.unibo.it/it/allegati/allegati-almadl/ams-acta-mission-statement-a,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/3,NA
The Lincoln Repository,University of Lincoln,https://eprints.lincoln.ac.uk,,NA,Institutional,LS05|LS07|LS08|LS09|PE04|PE07|PE08|PE10|SH02|SH04|SH05,All,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,http://eprints.lincoln.ac.uk/policy.html,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/5,NA
ArchiMer - Ifremer's institutional repository,French Research Institute for Exploitation of the Sea,http://archimer.ifremer.fr,,NA,Institutional,LS06|LS07|LS08|LS09|PE03|PE09|PE10|SH02|SH06,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,https://archimer.ifremer.fr/html/policies.htm,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/7,NA
Archive EduTice,Centre pour la Communication Scientifique Directe,http://edutice.archives-ouvertes.fr/,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/8,NA
Theses de l'ULP,Université de Strasbourg,http://eprints-scd-ulp.u-strasbg.fr/,,NA,Institutional,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/10,NA
Archive of European Integration,University of Pittsburgh,http://aei.pitt.edu/,,NA,NA,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/11,NA
Publikations- und Dokumentenserver der Universitätsbibliothek Marburg,Philipps-Universität Marburg,http://www.uni-marburg.de/bis/digitale_bibliothek/archivserver,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,http://www.uni-marburg.de/bis/digitale_bibliothek/archivserver/pubservfaq,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/13,NA
ARENA Publications,Universitetet i Oslo,http://www.sv.uio.no/arena/english/research/publications/arena-publications/,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/14,NA
UNSWorks,University of New South Wales,http://unsworks.unsw.edu.au/,,NA,Institutional,NA,All,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/17,NA
arXiv.org e-Print Archive,Cornell University,http://arxiv.org/,,NA,NA,LS01|LS02|LS03|LS05|LS06|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH01|SH02|SH03|SH04|SH05|SH06,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/18,NA
Biblioteca Digital Jurídica do Superior Tribunal de Justiça,Superior Tribunal de Justica,http://bdjur.stj.jus.br/jspui/,,NA,NA,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/23,NA
Bergen Open Research Archive,University of Bergen,https://bora.uib.no,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/24,NA
Repositorio Educativo Digital Universidad Autónoma de Occidente,Universidad Autónoma de Occidente,http://red.uao.edu.co/,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/25,NA
Biblioteca Digital de Teses e Dissertações da Universidade de São Paulo,University of São Paulo,http://www.teses.usp.br/,,NA,Institutional,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/26,NA
Thèses et e-prints BICTEL/e,Bibliothèque Interuniversitaire de la Communauté française de Belgique,http://www.bictel.be/,,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/27,NA
Birkbeck Institutional Research Online,"Birkbeck, University of London",https://eprints.bbk.ac.uk,,NA,Institutional,LS01|LS04|LS06|PE05|PE06|PE10|SH03|SH04|SH05,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/30,NA
University Library System - University of Messina,University of Messina,http://cab.unime.it,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/35,NA
Caltech Authors,California Institute of Technology,http://authors.library.caltech.edu/,,NA,Institutional,LS01|LS02|LS03|LS05|LS06|LS08|LS09|PE01|PE02|PE03|PE04|PE06|PE07|PE08|PE09|PE10|SH01,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/38,NA
Caltech Theses and Dissertations,California Institute of Technology,http://thesis.library.caltech.edu/,,NA,Institutional,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/40,NA
CalTech Engineering and Science Online,California Institute of Technology,http://calteches.library.caltech.edu/,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/41,NA
Computer Laboratory Technical Reports - Cambridge University,University of Cambridge,https://www.cl.cam.ac.uk/techreports,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/54,NA
Online Research @ Cardiff,Cardiff University,http://orca.cf.ac.uk,,NA,Institutional,LS01|LS02|LS03|LS04|LS05|LS06|LS07|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE09|PE10|SH01|SH02|SH03|SH04|SH05|SH06,All,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,http://orca.cf.ac.uk/policies.html,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/55,NA
ePubs: the open archive for STFC research publications,Science and Technology Facilities Council,https://epubs.stfc.ac.uk/,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/57,NA
