officialname,openairecompatibility,opendoar_link
&lt;intR&gt;²Dok,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3316
<intR>²Dok[§],"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3316
4TU.Centre for Research Data,"OpenAIRE Data (funded, referenced datasets)",NA
Aaltodoc Publication Archive,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/661
Academica-e,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/2347
Access to Research and Communications Annals,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1689
"Access to Research at National University of Ireland, Galway",OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1513
ACM Digital Library,OpenAIRE 2.0 (EC funding),NA
ACU Research Bank,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/3651
AfricArXiv,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/4355
Agder University Research Archive,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1794
Agencia Nacional de Investigación y Desarrollo,not available,https://v2.sherpa.ac.uk/id/repository/2220
Agritrop,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3631
Alexandria Research Platform,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/2
AMS Acta,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3
Anglia Ruskin Research Online,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/1850
Apollo,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/109
Arca - Repositório Institucional da Fiocruz,not available,https://v2.sherpa.ac.uk/id/repository/2135
ArchiMer - Institutional Archive of Ifremer,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/7
Archined,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4554
Archive institutionnelle Ifsttar,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2966
Archive N.E.E.O. U.T.1,OpenAIRE Basic (DRIVER OA),NA
Archive ouverte UNIGE,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/1400
Archivio della ricerca - Università degli studi di Napoli &quot;Parthenope&quot;,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3687
Archivio della ricerca - Università degli studi di Napoli Federico II,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3730
Archivio della Ricerca - Università degli Studi di Teramo,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3664
Archivio della Ricerca - Università di Pisa,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3728
Archivio della Ricerca - Università di Roma Tor vergata,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3667
Archivio della Ricerca - Università di Salerno,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3666
Archivio della ricerca della Scuola Superiore Sant'Anna,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3729
Archivio della ricerca- Università di Roma La Sapienza,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3686
Archivio Istituzionale,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/970
Archivio istituzionale della ricerca - Alma Mater Studiorum Università di Bologna,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4094
Archivio istituzionale della Ricerca - Bocconi,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/4050
Archivio istituzionale della ricerca - Fondazione Edmund Mach,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3669
Archivio Istituzionale della Ricerca - Politecnico di Bari,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3979
Archivio Istituzionale della Ricerca - Università degli Studi dell Aquila,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3983
Archivio Istituzionale della Ricerca - Università degli Studi della Campania &quot;Luigi Vanvitelli&quot;,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3977
Archivio Istituzionale della Ricerca - Università degli Studi di Cassino,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3980
Archivio Istituzionale della Ricerca - Università degli Studi di Perugia,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3982
Archivio istituzionale della ricerca - Università degli Studi di Udine,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3659
Archivio istituzionale della ricerca - Università degli Studi di Venezia Ca' Foscari,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3655
Archivio istituzionale della ricerca - Università dell'Insubria,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3660
Archivio istituzionale della ricerca - Università di Brescia,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3662
Archivio istituzionale della ricerca - Università di Camerino,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3707
Archivio istituzionale della ricerca - Università di Ferrara,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3709
Archivio istituzionale della ricerca - Università di Genova,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3710
Archivio istituzionale della ricerca - Università di Padova,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3657
Archivio istituzionale della ricerca - Università di Palermo,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3658
Archivio istituzionale della ricerca - Università di Trieste,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/3665
Archivio istituzionale della ricerca - Università IUAV di Venezia,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3661
Archivio Istituzionale della Ricerca dell'Università degli Studi di Milano,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1261
Archivio Istituzionale della Ricerca- Università degli Studi di Messina,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3978
ARCHIVIO ISTITUZIONALE DELLA RICERCA-UNIVERSITA' DEGLI STUDI DI NAPOLI &quot;L'ORIENTALE&quot;,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3684
Archivio Istituzionale Università di Bergamo,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1581
Archivo Climatológico y Meteorológico Institucional de AEMET,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3726
ARCHIVO DIGITAL PARA LA DOCENCIA Y LA INVESTIGACION,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/2121
Archivo Digital UPM,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1033
