reference_evaluation_panel,label,officialname,data_source_id,oaire_result_type,openairecompatibility,works,works_prop,projects_with_repo_works,projects,projects_prop
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Aaltodoc Publication Archive,opendoar____::3a066bda8c96b9478bb0512f0a43028c,publication,"OpenAIRE 3.0 (OA, funding)",1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Apollo,opendoar____::2723d092b63885e0d7c260cc007e8b9d,publication,OpenAIRE Basic (DRIVER OA),14,0.015590200445434299,9,213,0.04225352112676056
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Archive ouverte UNIGE,opendoar____::f0dd4a99fba6075a9494772b58f95280,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",3,0.0033407572383073497,3,213,0.014084507042253521
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Archivio istituzionale della ricerca - Alma Mater Studiorum Università di Bologna,opendoar____::64c53a52cb3bd1a01c03a64db985c0cc,publication,"OpenAIRE 3.0 (OA, funding)",1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Archivio Istituzionale della Ricerca dell'Università degli Studi di Milano,opendoar____::17326d10d511828f6b34fa6d751739e2,publication,"OpenAIRE 3.0 (OA, funding)",5,0.005567928730512249,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",arXiv.org e-Print Archive,opendoar____::6f4922f45568161a8cdf4ad2299f6d23,publication,OpenAIRE Basic (DRIVER OA),3,0.0033407572383073497,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Aston Publications Explorer,opendoar____::351b33587c5fdd93bd42ef7ac9995a28,publication,collected from a compatible aggregator,1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",BASE (Open Access Aggregator),openaire____::df45502607927471ecf8a6ae83683ff5,publication,"OpenAIRE 3.0 (OA, funding)",6,0.0066815144766146995,6,213,0.028169014084507043
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Bern Open Repository and Information System (BORIS),opendoar____::6917ff2a7b53421ff4066020e2d89eec,publication,OpenAIRE Basic (DRIVER OA),6,0.0066815144766146995,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Biblioteca Digital da UNICAMP,opendoar____::aa486f25175cbdc3854151288a645c19,publication,not available,1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",bioRxiv,share_______::bbd802baad85d1fd440f32a7a3a2c2b1,publication,OpenAIRE Basic (DRIVER OA),28,0.031180400890868598,21,213,0.09859154929577464
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Birkbeck Institutional Research Online,opendoar____::34173cb38f07f89ddbebc2ac9128303f,publication,collected from a compatible aggregator,2,0.0022271714922048997,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Caltech Authors,opendoar____::a5771bce93e200c36f7cd9dfd0e5deaa,publication,OpenAIRE Basic (DRIVER OA),2,0.0022271714922048997,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Central Archive at the University of Reading,opendoar____::b29eed44276144e4e8103a661f9a78b7,publication,collected from a compatible aggregator,1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",CONICET Digital,opendoar____::fd9dcf1d146272bb05c490d790b6da52,publication,"OpenAIRE 3.0 (OA, funding)",2,0.0022271714922048997,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Copenhagen University Research Information System,opendoar____::030e65da2b1c944090548d36b244b28d,publication,OpenAIRE Basic (DRIVER OA),15,0.01670378619153675,8,213,0.03755868544600939
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",DESY Publication Database,opendoar____::b9d487a30398d42ecff55c228ed5652b,publication,"OpenAIRE 3.0 (OA, funding)",9,0.01002227171492205,8,213,0.03755868544600939
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Digital Access to Scholarship at Harvard,opendoar____::8f19793b2671094e63a15ab883d50137,publication,OpenAIRE Basic (DRIVER OA),3,0.0033407572383073497,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Digital Repository of University of Zaragoza,opendoar____::59f51fd6937412b7e56ded1ea2470c25,publication,OpenAIRE Basic (DRIVER OA),1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",DIGITAL.CSIC,opendoar____::c9f95a0a5af052bffce5c89917335f67,publication,"OpenAIRE 3.0 (OA, funding)",43,0.04788418708240535,12,213,0.056338028169014086
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Diposit Digital de Documents de la UAB,opendoar____::186a157b2992e7daed3677ce8e9fe40f,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Diposit Digital de la Universitat de Barcelona,opendoar____::1ce927f875864094e3906a4a0b5ece68,publication,"OpenAIRE 3.0 (OA, funding)",1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Document Server@UHasselt,opendoar____::65b9eea6e1cc6bb9f0cd2a47751a186f,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",DSpace@MIT,opendoar____::2a38a4a9316c49e5a833517c45d31070,publication,OpenAIRE Basic (DRIVER OA),1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Durham Research Online,opendoar____::cd00692c3bfe59267d5ecfac5310286c,publication,OpenAIRE Basic (DRIVER OA),2,0.0022271714922048997,3,213,0.014084507042253521
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",e-Prints Soton,opendoar____::01386bd6d8e091c2ab4c7c7de644d37b,publication,OpenAIRE Basic (DRIVER OA),4,0.004454342984409799,4,213,0.018779342723004695
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Edinburgh Research Explorer,opendoar____::512fc3c5227f637e41437c999a2d3169,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",13,0.014476614699331848,12,213,0.056338028169014086
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",edoc,opendoar____::8bdb5058376143fa358981954e7626b8,publication,OpenAIRE Basic (DRIVER OA),2,0.0022271714922048997,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Enlighten,opendoar____::82aa4b0af34c2313a562076992e50aa3,publication,collected from a compatible aggregator,17,0.01893095768374165,4,213,0.018779342723004695
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Erasmus University Institutional Repository,opendoar____::9c3b1830513cc3b8fc4b76635d32e692,publication,collected from a compatible aggregator,14,0.015590200445434299,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",eScholarship - University of California,opendoar____::89f0fd5c927d466d6ec9a21b9ac34ffa,publication,OpenAIRE Basic (DRIVER OA),8,0.008908685968819599,4,213,0.018779342723004695
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",ETH Zürich Research Collection,re3data_____::8ac60f4c88018b79a528ceb336266c6b,publication,"OpenAIRE Data (funded, referenced datasets)",25,0.02783964365256125,8,213,0.03755868544600939
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Europe PubMed Central,opendoar____::8b6dd7db9af49e67306feb59a8bdc52c,publication,collected from a compatible aggregator,750,0.8351893095768375,129,213,0.6056338028169014
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Explore Bristol Research,opendoar____::f12f2b34a0c3174269c19e21c07dee68,publication,OpenAIRE Basic (DRIVER OA),3,0.0033407572383073497,2,213,0.009389671361502348
